id,created_at,variant_id,path,bot_name,user_agent,method,status,latency_ms,meta
137,2026-03-31 12:58:30.608663+00,aria,/test-aria,Gemini,Google-NotebookLM,HEAD,200,1,{}
138,2026-03-31 12:58:30.918553+00,aria,/test-aria,Gemini,NotebookLM,HEAD,200,1,{}
139,2026-03-31 12:58:31.219146+00,aria,/test-aria,Gemini,GoogleAgent-Mariner,HEAD,200,1,{}
140,2026-03-31 12:58:31.531185+00,aria,/test-aria,Perplexity,PerplexityBot,HEAD,200,2,{}
141,2026-03-31 12:58:31.824582+00,aria,/test-aria,Perplexity,Perplexity-User,HEAD,200,2,{}
142,2026-03-31 12:58:32.160428+00,aria,/test-aria,CommonCrawl,CCBot,HEAD,200,1,{}
143,2026-03-31 12:58:32.47869+00,aria,/test-aria,Applebot,Applebot,HEAD,200,1,{}
144,2026-03-31 12:58:32.790333+00,aria,/test-aria,Applebot,Applebot-Extended,HEAD,200,1,{}
145,2026-03-31 12:58:33.091113+00,aria,/test-aria,Meta,meta-externalagent,HEAD,200,0,{}
146,2026-03-31 12:58:33.385102+00,aria,/test-aria,Meta,Meta-ExternalAgent,HEAD,200,1,{}
147,2026-03-31 12:58:33.680274+00,aria,/test-aria,Meta,meta-externalfetcher,HEAD,200,1,{}
148,2026-03-31 12:58:33.974695+00,aria,/test-aria,Meta,meta-webindexer,HEAD,200,1,{}
149,2026-03-31 12:58:34.263682+00,aria,/test-aria,DeepSeek,DeepSeekBot,HEAD,200,1,{}
150,2026-03-31 12:58:34.565269+00,aria,/test-aria,Mistral,MistralAI-User,HEAD,200,1,{}
151,2026-03-31 12:58:34.886091+00,aria,/test-aria,DuckDuckGo,DuckAssistBot,HEAD,200,1,{}
152,2026-03-31 12:58:35.19087+00,aria,/test-aria,Brave,Bravebot,HEAD,200,1,{}
153,2026-03-31 12:58:35.4776+00,aria,/test-aria,You,YouBot,HEAD,200,1,{}
154,2026-03-31 12:58:35.770412+00,aria,/test-aria,Cohere,cohere-ai,HEAD,200,1,{}
155,2026-03-31 12:58:36.131294+00,aria,/test-aria,ByteDance,Bytespider,HEAD,200,1,{}
156,2026-03-31 12:58:36.438657+00,aria,/test-aria,ByteDance,TikTokSpider,HEAD,200,1,{}
157,2026-03-31 12:58:36.740363+00,aria,/test-aria,Manus,Manus-User,HEAD,200,1,{}
158,2026-03-31 12:58:37.061622+00,aria,/test-aria,Amazon,Amazonbot,HEAD,200,1,{}
159,2026-03-31 12:58:37.563495+00,noscript,/test-noscript,ChatGPT,GPTBot,HEAD,200,1,{}
160,2026-03-31 12:58:37.879883+00,noscript,/test-noscript,ChatGPT,ChatGPT-User,HEAD,200,1,{}
161,2026-03-31 12:58:38.204018+00,noscript,/test-noscript,ChatGPT,OAI-SearchBot,HEAD,200,1,{}
162,2026-03-31 12:58:38.52102+00,noscript,/test-noscript,ChatGPT,ChatGPT Agent,HEAD,200,1,{}
163,2026-03-31 12:58:38.822866+00,noscript,/test-noscript,Claude,ClaudeBot,HEAD,200,1,{}
164,2026-03-31 12:58:39.114044+00,noscript,/test-noscript,Claude,Claude-Web,HEAD,200,1,{}
165,2026-03-31 12:58:39.411469+00,noscript,/test-noscript,Claude,Claude-User,HEAD,200,3,{}
166,2026-03-31 12:58:39.767417+00,noscript,/test-noscript,Claude,Claude-SearchBot,HEAD,200,1,{}
167,2026-03-31 12:58:40.076958+00,noscript,/test-noscript,Claude,anthropic-ai,HEAD,200,1,{}
168,2026-03-31 12:58:40.381129+00,noscript,/test-noscript,Gemini,Google-Extended,HEAD,200,0,{}
